Rank,Card Name,Top,Right,Bottom,Left,Element
1,MP,3,4,3,1
1,Sweeper,1,5,2,4
1,Guard Hound,1,2,3,4
1,Special Combatant,2,6,2,1
1,Hedgehog Pie,2,5,2,4
1,Nibel Wolf,5,1,3,3
1,Sahagin,1,5,3,3
1,Search Crown,2,2,4,4
1,Ghost,1,7,1,2
1,Aero Combatant,3,1,5,1
1,Dorky Face,2,2,7,2
1,Bullmotor,2,7,3,1

2,Zolokalter,1,4,6,2
2,Twin Brain,4,2,1,5
2,Zenene,1,7,2,2
2,Hell House,2,2,7,1
2,Sword Dance,1,5,5,4
2,Velcher Task,1,7,1,4
2,Bahba Velamyu,2,3,6,1
2,Ceasar,1,9,1,4
2,Mu,8,2,2,2
2,8 Eye,1,2,10,2
2,Guardian,7,1,4,1
2,Gagighandi,6,2,1,6

3,Ghirofelgo,3,9,3,2
3,Zemzelett,1,8,7,2
3,Valron,3,2,3,10
3,Mighty Grunt,5,1,7,5
3,Doorbull,3,1,9,3
3,Ochu,5,3,7,2
3,Screamer,9,2,4,3
3,Cockatrice,1,6,7,3
3,Cactuar,3,5,4,5
3,Master Tonberry,3,1,10,3
3,Coeurl,9,1,6,2
3,Death Claw,1,8,5,4

4,Hell Rider VR2,7,2,6,2
4,Godo,8,2,1,9
4,Aps,8,7,1,4
4,Unknown 3,4,5,6,3
4,Ghost Ship,4,6,4,3
4,Gargoyle,6,9,1,1
4,Foulander,2,7,7,4
4,Gremlin,8,3,3,6
4,Kelzmelzer,9,1,4,5
4,Formula,7,1,7,5
4,Vlakorados,7,4,6,3
4,Grangalan,7,8,2,2

5,Iron Giant,4,1,9,3
5,Behemoth,6,2,7,5
5,Magnade,5,4,7,6
5,Bottomswell,7,7,2,3
5,Gi Nattack,10,3,7,2
5,Cmd. Grand Horn,1,10,3,7
5,Bagnarada,3,8,10,1
5,Red Dragon,1,8,10,2
5,Gigas,4,9,6,3
5,Serpent,2,2,8,7
5,Grimguard,5,8,4,2
5,Manhole,5,3,6,2

6,The Turks,4,8,5,5
6,Dragon Zombie,6,7,3,4
6,Hundred Gunner,5,4,8,6
6,Death Dealer,5,2,8,5
6,Shizo,4,3,6,8
6,Unknown,4,2,7,7
6,Dragon Rider,5,8,4,6
6,Headbomber,9,1,2,8
6,Proud Clod,7,9,1,3
6,Hojo,9,3,4,4
6,Kimara Bug,7,7,8,1
6,Palmer,2,9,2,8

7,Dark Dragon,8,7,1,8
7,King Behemoth,1,9,7,8
7,Lost Number,8,8,3,4
7,Ahriman,10,3,9,2
7,Unknown 2,6,9,4,6
7,Christopher/Gighee,2,9,7,5
7,Heavy Tank,9,2,2,10
7,Magic Pot,10,6,5,2
7,Ruby Weapon,8,5,2,10
7,Emerald Weapon,8,5,4,7
7,Ultima Weapon,9,1,6,9
7,Diamond Weapon,7,2,5,10

8,Chubby Chocobo,2,9,2,10
8,Death Wall,3,5,6,9
8,Stilva,8,2,7,9
8,Midgar Zolom,2,6,6,9
8,Chocobo & Mog,4,5,6,9
8,Ramuh,8,8,2,7
8,Shiva,6,9,7,2
8,Ifrit,9,4,8,5
8,Titan,9,3,10,3
8,Odin,3,7,9,7
8,Bahamut,4,7,8,5
8,Chocobo,7,6,7,5

9,Alexander,3,10,9,5
9,Phoenix,6,6,5,9
9,Leviathan,4,10,7,6
9,Neo Bahamut,8,5,8,3
9,Hades,8,5,6,6
9,Typhon,5,9,3,9
9,Kujata,4,7,8,6
9,Bahamut ZERO,6,2,10,7
9,Knights of Round,2,9,5,9
9,Jenova,2,7,7,8
9,Bizarro Sephiroth,9,3,4,10
9,Safer Sephiroth,5,10,5,6

10,Cait Sith,6,5,8,8
10,Vincent,6,7,10,3
10,Red XIII,9,7,7,4
10,Yuffie,10,6,8,4
10,Aerith,10,6,10,3
10,Barret,3,10,6,10
10,Cid,9,4,6,7
10,Tifa,4,10,3,9
10,Rufus,5,8,7,6
10,Sephiroth,1,10,9,6
10,Cloud,10,2,10,4
10,Avalanche,2,10,5,10
